,date,name,tweet
0,2014-12-30,중소벤처기업부,"드라마 보다 더 박진감 넘치는 중소기업 기술개발 성공 스토리, 이제 ‘온라인홍보관’에서 만나봅시다! 온라인 홍보관 바로가기 &gt;&gt;&gt;  http://t.co/hjXrrsQcu9 블로그에서 자세한 내용 확인하기 &gt;&gt;&gt;  http://t.co/iJvu9Kt0n6"
1,2014-12-30,중소벤처기업부,"'우리가 어떤 민족입니까?' 를 끊임없이 묻는 그. 우아한 형제들의 '김봉진 대표'입니다.그가 말하는 창업자의 요건, 미쳐야 한다고 합니다!.#자신이좋아하는일에 말이죠! 그의 이야기, 함께 만나볼까요?&gt;&gt;&gt;  http://t.co/DejqJkV5He"
2,2014-12-29,중소벤처기업부,"재밌는 시장, 시흥 삼미시장에 가면 확인 할 네 가지 명물이 있다고 하는데! 시흥시장 #그것이_알고싶다! #오중기_출동! &gt;&gt;&gt;  http://t.co/UpMD99b6Dp  http://t.co/FhBx3cDnTi"
3,2014-12-29,중소벤처기업부,"양적 뿐만 아니라 질적으로도 쑥쑥 자라나고 있는 벤처 생태계! 기사로 만나보세요! &lt;창업 사상최다, 올 8만개 돌파&gt;  http://t.co/lKpUH02dV5 &lt;창업환경 순위 34위→17위 닷컴버블 이후 최고&gt;  http://t.co/aPJSgXNlZB"
4,2014-12-26,중소벤처기업부,"""나다움""을 찾아갔던 여정, 그 여정의 끝에 나다운 서포터즈 해단식이 있었습니다! 나다운 서포터즈 활동으로 나다운 나를 만난 오늘이었기를 바랍니다 ;-) #안녕_나다운서포터즈들!  http://t.co/ko9C2SgNe3"
5,2014-12-26,중소벤처기업부,"""규제개선 하니 일자리도 늘고 매출도 늘었어요!""  규제개선으로 얼굴에 미소가 만연한 이들의 이야기, ""20인의 미소"" E-BOOK에서 확인 하세요!  http://t.co/aVfIAnF9Ra  http://t.co/iZzMzRg6Lc"
6,2014-12-24,중소벤처기업부,"[한 눈에 보자! '2015년 경제정책방향!'] 크리스마스 이브, 선물같은 2015년 경제정책방향, 한눈에 보여드립니다:) #기획재정부로부터_날아든_소식 &gt;&gt;&gt;  http://t.co/zUffolwDTp  http://t.co/xJAJeDcoIc"
7,2014-12-24,중소벤처기업부,"[중소기업 정책백서] '내가 만난 정책' 월드클래스 300편 창업한지 10년 된 엠씨멕스!  수출경쟁력과 시장지배력을 강화할 수 있었던 힘, 바로 월드클래스 300과 함께였습니다;-)   http://t.co/zFIHwEBG3N"
8,2014-12-24,중소벤처기업부,[중소기업 정책백서] 내가 만난 정책_월드클래스 300편 '엠씨넥스':  http://t.co/IHOtXKGPwv (@YouTube)
9,2014-12-24,중소벤처기업부,동영상을 @YouTube 재생목록  http://t.co/IHOtXKGPwv [중소기업 정책백서] 내가 만난 정책_중소기업
10,2014-12-23,중소벤처기업부,@geehee508 맞팔했습니다 ;-)
11,2014-12-23,중소벤처기업부,@Pomeyour 맞팔 완료 했습니다~!
12,2014-12-23,중소벤처기업부,@minju1039 맞팔 완료 했습니다~!
13,2014-12-23,중소벤처기업부,@Rainskycena 맞팔 완료 했습니당:)
14,2014-12-23,중소벤처기업부,"@minju1039 창업넷에 응원 댓글 남겨주셔서 감사합니다! 23일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
15,2014-12-23,중소벤처기업부,"@Rainskycena 창업넷에 응원 댓글 남겨주셔서 감사합니다! 23일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
16,2014-12-23,중소벤처기업부,"@geehee508 창업넷에 응원 댓글 남겨주셔서 감사합니다! 23일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
17,2014-12-23,중소벤처기업부,"@Pomeyour 창업넷에 응원 댓글 남겨주셔서 감사합니다! 23일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
18,2014-12-23,중소벤처기업부,"@umj227 창업넷에 응원 댓글 남겨주셔서 감사합니다! 23일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
