id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
814720176050446336,814720176050446336,2016-12-30 15:30:01 대한민국 표준시,2016-12-30,15:30:01,+0900,50884714,bizinfo1357,중소벤처기업부,,일찌감치 진로를 잡고 꿈을 향해 달려가는 특성화고와 마이스터고 학생들.   ‘창업하는 게 꿈’이라며 당당히 말하는 예비창업가들을 만나기 위해 한국디지털미디어고등학교를 찾았습니다. ▶ https://t.co/iApJApcrTT  https://t.co/KtkfT9tVda,ko,[],['https://goo.gl/Tbq4KS'],['https://pbs.twimg.com/media/C01vDczUcAAYX3y.jpg'],0,2,4,[],[],https://twitter.com/bizinfo1357/status/814720176050446336,False,,1,https://pbs.twimg.com/media/C01vDczUcAAYX3y.jpg,,,,,,,[],,,,
814712623451078656,814712623451078656,2016-12-30 15:00:00 대한민국 표준시,2016-12-30,15:00:00,+0900,50884714,bizinfo1357,중소벤처기업부,,"중소기업청 등 7개 정부 부처는 ‘2017년도 정부 창업 지원사업’에 대한 통합공고를 발표합니다. 창업사업화, R&amp;D 지원 등 총 6,158억원이 지원될 예정이랍니다. ▶ https://t.co/NK8ddqxCpO  https://t.co/tCgftuvwft",ko,[],['https://goo.gl/mG8DjQ'],['https://pbs.twimg.com/media/C040cfTUUAAbyXt.jpg'],0,3,6,[],[],https://twitter.com/bizinfo1357/status/814712623451078656,False,,1,https://pbs.twimg.com/media/C040cfTUUAAbyXt.jpg,,,,,,,[],,,,
814697527509274624,814697527509274624,2016-12-30 14:00:01 대한민국 표준시,2016-12-30,14:00:01,+0900,50884714,bizinfo1357,중소벤처기업부,,"2016년, 다사다난했던 올 한해. 일 년 동안 무슨 일이 있었을까요? 각 분야별로 정리해 본 2016년 HOT 키워드! 올해의 주요 이슈들을 1분만에 확인해보세요~ ▶ https://t.co/5nyJZLDazy  https://t.co/7YaIZnHzPT",ko,[],['https://goo.gl/hmJxz8'],['https://pbs.twimg.com/media/C041Z_EVQAE77zI.jpg'],0,4,3,[],[],https://twitter.com/bizinfo1357/status/814697527509274624,False,,1,https://pbs.twimg.com/media/C041Z_EVQAE77zI.jpg,,,,,,,[],,,,
814643356345110529,814643356345110529,2016-12-30 10:24:46 대한민국 표준시,2016-12-30,10:24:46,+0900,50884714,bizinfo1357,중소벤처기업부,,"[이벤트] 중소기업의 수출역량강화를 위해 교육, 해외시장정보, 마케팅 등을 지원하는 ‘이것’의 이름은? 뽑기기계 속 글자들을 순서대로 배열해 정답 맞히고, 중소기업청(@bizinfo1357) 트위터 팔로우&amp;RT로 이벤트 소문내기!  https://t.co/XUSbtJSvM3",ko,"[{'screen_name': 'bizinfo1357', 'name': '중소벤처기업부', 'id': '50884714'}]",[],['https://pbs.twimg.com/media/C04xzdWUAAAhP4L.jpg'],39,37,13,[],[],https://twitter.com/bizinfo1357/status/814643356345110529,False,,1,https://pbs.twimg.com/media/C04xzdWUAAAhP4L.jpg,,,,,,,[],,,,
814642985799294976,814642985799294976,2016-12-30 10:23:17 대한민국 표준시,2016-12-30,10:23:17,+0900,50884714,bizinfo1357,중소벤처기업부,,"신제품 개발을 위한 자금은 확보되었지만 판로를 구하기 힘들고,판로는 있지만 자금 걱정에...중소기업이라면 한 번쯤 겪어봤을 걱정을 한방에 해결해드립니다.「2017년 구매조건부신제품개발사업」에 참여하세요.▶ https://t.co/fQQlE6LCXV  https://t.co/aFsLAdXypu",ko,[],['https://goo.gl/OdjjRm'],['https://pbs.twimg.com/media/C04xd-FVIAA3aKz.jpg'],0,5,4,[],[],https://twitter.com/bizinfo1357/status/814642985799294976,False,,1,https://pbs.twimg.com/media/C04xd-FVIAA3aKz.jpg,,,,,,,[],,,,
814417099925966848,814417099925966848,2016-12-29 19:25:42 대한민국 표준시,2016-12-29,19:25:42,+0900,50884714,bizinfo1357,중소벤처기업부,,동영상을 @YouTube 재생목록  https://t.co/a1LyvGrpiH 나눔경영쇼 사장님이 미쳤어요 E02 161225 720p NEXT에,ko,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['http://youtu.be/IjzaVeoBzQg?a'],[],0,2,2,[],[],https://twitter.com/bizinfo1357/status/814417099925966848,False,,0,,,,,,,,[],,,,
814416794941358080,814416794941358080,2016-12-29 19:24:29 대한민국 표준시,2016-12-29,19:24:29,+0900,50884714,bizinfo1357,중소벤처기업부,,동영상을 @YouTube 재생목록  https://t.co/Y1fDspcAjy 161225 사장님이미쳤어요 예고에 추가했습니다.,ko,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['http://youtu.be/vd5tkNPa77o?a'],[],0,2,1,[],[],https://twitter.com/bizinfo1357/status/814416794941358080,False,,0,,,,,,,,[],,,,
814390028562530306,814390028562530306,2016-12-29 17:38:08 대한민국 표준시,2016-12-29,17:38:08,+0900,50884714,bizinfo1357,중소벤처기업부,,"우리나라에 산타마을이 있다, 없다? 경상북도 봉화군 분천역이라는 기차역에 산타마을이 있습니다. 역과 그 인근에서 눈썰매장, 산타카페, 산타시네마 등이 연말 관광객들을 유혹한답니다. ▶ https://t.co/1njm1WngyR ※출처:정책브리핑  https://t.co/7rHymtdzHz",ko,[],['https://goo.gl/oRQojm'],['https://pbs.twimg.com/media/C01LSv4UAAAkd5i.jpg'],0,5,6,[],[],https://twitter.com/bizinfo1357/status/814390028562530306,False,,1,https://pbs.twimg.com/media/C01LSv4UAAAkd5i.jpg,,,,,,,[],,,,
814388861124034560,814388861124034560,2016-12-29 17:33:29 대한민국 표준시,2016-12-29,17:33:29,+0900,50884714,bizinfo1357,중소벤처기업부,,중소기업청이 베트남 등 동남아시아에서 창업을 원하는 역량있는 소상공인과 예비창업자의 현지 창업활동을 지원합니다. 「‘17년 소자본 해외창업 지원사업」 인큐베이팅 운영 방향을 지금 확인하세요! ▶ https://t.co/WagrlVfOfp  https://t.co/Rh4jkg1EUQ,ko,[],['https://goo.gl/X2mRv8'],['https://pbs.twimg.com/media/C01KV_OUUAAN9np.jpg'],0,2,4,[],[],https://twitter.com/bizinfo1357/status/814388861124034560,False,,1,https://pbs.twimg.com/media/C01KV_OUUAAN9np.jpg,,,,,,,[],,,,
814375056071655424,814375056071655424,2016-12-29 16:38:38 대한민국 표준시,2016-12-29,16:38:38,+0900,50884714,bizinfo1357,중소벤처기업부,,"우리나라의 미래를 이끌어갈 벤처기업, 얼마나 성장하고 있을까요? 벤처기업의 지난해 매출은 216조원으로, 한국경제 활력소 역할을 톡톡히 하고 있는 것으로 나타났는데요. 전체 내용은 링크를 참고해주세요! ▶ https://t.co/DdJLSmjcAf  https://t.co/ggfejYdLae",ko,[],['https://goo.gl/Z7UxHM'],"['https://pbs.twimg.com/media/C009x2tUsAAqBm7.jpg', 'https://pbs.twimg.com/media/C009x3TVEAEVQXe.jpg', 'https://pbs.twimg.com/media/C009x3UUkAEWWY0.jpg']",0,2,6,[],[],https://twitter.com/bizinfo1357/status/814375056071655424,False,,1,https://pbs.twimg.com/media/C009x2tUsAAqBm7.jpg,,,,,,,[],,,,
